trip_id,area_code,trip_days,theme,has_child,has_elderly,has_disabled,companion_count,p0_age,p0_gender,p0_style,p0_home,p0_preferred,p1_age,p1_gender,p1_style,p1_home,p1_preferred
g_g000987,west,3,22,0,0,0,0,20,남,4;3;6;6;3;5;2;5,45,45800;46130;11710,,,,,
g_g000988,west,2,22,0,0,0,0,40,남,7;2;1;1;6;6;6;2,29,11680;45110;46110,,,,,
g_g000989,west,3,22,0,0,0,0,30,여,3;3;1;2;4;1;2;4,45,45130;46110;45800,,,,,
g_g000991,west,3,21,0,0,0,0,40,남,2;4;1;4;6;3;5;4,29,26200;30200;45130,,,,,
g_g000996,west,2,1,0,0,0,0,30,여,5;2;2;2;1;2;6;6,11,26350;46130;41820,,,,,
g_g001000,west,3,2,0,0,0,0,20,여,2;2;2;4;4;3;5;4,11,42820;26350;42210,,,,,
g_g001002,west,3,22,0,0,0,0,20,남,7;4;7;1;1;4;1;7,30,11230;44180;44150,,,,,
g_g001006,west,3,2,0,0,0,0,40,남,1;1;1;4;3;3;3;5,11,50130;42150;28710,,,,,
g_g001008,west,3,2,0,0,0,0,40,남,2;4;2;4;2;2;6;6,11,50110;26350;48840,,,,,
g_g001016,west,2,1,0,0,0,0,20,여,4;4;3;2;4;3;5;5,27,26710;47130;47110,,,,,
g_g001019,west,3,2,0,0,0,0,30,여,6;3;3;2;4;6;3;5,46,11710;26350;50130,,,,,
g_g001022,west,3,1,0,0,0,0,50,남,1;1;1;1;4;6;3;5,44,50130;46130;48840,,,,,
g_g001026,west,2,2,0,0,0,0,30,여,1;7;1;4;6;7;5;1,44,44150;44180;30200,,,,,
g_g001030,west,2,2,0,0,0,0,30,남,4;5;3;2;2;5;2;4,29,46110;46900;46790,,,,,
g_g001034,west,2,2,0,0,0,0,50,여,2;6;4;4;4;6;2;2,46,46840;46860;29170,,,,,
g_g001035,west,2,1,0,0,0,0,60,여,3;4;6;3;2;6;5;5,43,43110;47770;42150,,,,,
g_g001040,west,3,22,0,0,0,0,40,여,2;1;5;2;2;6;6;7,30,50110;42150;48220,,,,,
g_g001041,west,3,2,0,0,0,0,30,남,7;4;1;1;7;7;7;7,30,48120;45110;44800,,,,,
g_g001046,west,2,4,0,0,0,0,50,여,6;3;2;1;2;2;3;2,11,11680;48220;26710,,,,,
